"SNo","CaseID","KafkaJSON","APIResponse","Status"
"1","{u'_id': ObjectId('562f0a30a9728d0c2c8f557f'), u'relationship': {u'accountId': 100000256, u'relationshipChangeTime': u'', u'relationshipChangeDate': u'', u'validTo': 99991231, u'relationshipCode': u'BUR013', u'contactId': 100002307, u'mode': u'I', u'relationshipDescription': u'Is Replaced By', u'validFrom': 20151013, u'relationshipCreateDate': 20151013, u'relationshipCreateTime': 145941}}"
"2","{u'header': {u'rating': u'', u'accountType': u'Enterprise', u'customerSince': 20151014, u'ratingKey': u'', u'sapChangeTime': u'', u'partnerId': 101101983, u'partnerTypeKey': 2, u'commonId': u'', u'sapCreateTime': 51709, u'accountTypeKey': u'EN', u'archivingFlag': u'', u'partnerGrouping': u'JN Customer', u'accountName': u'PRIMARY RESELLER TESTING 14101510', u'accountClassKey': 2, u'statusKey': u'E0018', u'partnerGroupingKey': u'0001', u'serviceRenewalDate': u'00000000', u'status': u'Compliance Pending', u'tranBlockReasonKey': u'', u'accountGroup': u'JN Reseller', u'sapCreateDate': 20151014, u'dataOriginKey': u'0003', u'accountClass': u'Major', u'sapChangeDate': u'', u'contactFirstName': u'', u'accountGroupKey': u'Z020', u'dataOrigin': u'SFDC', u'partnerType': u'Organisation', u'contactLastNname': u'', u'tranBlockReason': u''}, u'_id': ObjectId('562f0a30a9728d0c2c8f5580'), u'address': {u'website': u'', u'city': u'SONOMA', u'language': u'English', u'extension': u'', u'street1': u'389 4TH ST E', u'street2': u'', u'street3': u'', u'street4': u'', u'email': u'', u'phone': u'', u'communicationTypeKey': u'', u'country': u'United States', u'postalCode': u'95476-5717', u'region': u'California', u'houseNumber': u'', u'communicationType': u'', u'transportZone': u''}}"
"3","{u'header': {u'rating': u'', u'accountType': u'Enterprise', u'customerSince': 20151014, u'ratingKey': u'', u'sapChangeTime': 52007, u'partnerId': 101101983, u'partnerTypeKey': 2, u'commonId': u'', u'sapCreateTime': 51709, u'accountTypeKey': u'EN', u'archivingFlag': u'', u'partnerGrouping': u'JN Customer', u'accountName': u'PRIMARY RESELLER TESTING 14101510', u'accountClassKey': 2, u'statusKey': u'E0021', u'partnerGroupingKey': u'0001', u'serviceRenewalDate': u'00000000', u'status': u'Partner Approved', u'tranBlockReasonKey': u'', u'accountGroup': u'JN Reseller', u'sapCreateDate': 20151014, u'dataOriginKey': u'0003', u'accountClass': u'Major', u'sapChangeDate': 20151014, u'contactFirstName': u'', u'accountGroupKey': u'Z020', u'dataOrigin': u'SFDC', u'partnerType': u'Organisation', u'contactLastNname': u'', u'tranBlockReason': u''}, u'_id': ObjectId('562f0a30a9728d0c2c8f5581'), u'address': {u'website': u'', u'city': u'SONOMA', u'language': u'', u'extension': u'', u'street1': u'389 4TH ST E', u'street2': u'', u'street3': u'', u'street4': u'', u'email': u'', u'phone': u'', u'communicationTypeKey': u'', u'country': u'United States', u'postalCode': u'95476-5717', u'region': u'California', u'houseNumber': u'', u'communicationType': u'', u'transportZone': u'0000000001'}}"
"4","{u'header': {u'rating': u'', u'accountType': u'', u'customerSince': u'00000000', u'ratingKey': u'', u'sapChangeTime': 52029, u'partnerId': 101101983, u'partnerTypeKey': 2, u'commonId': u'', u'sapCreateTime': 51709, u'accountTypeKey': u'', u'archivingFlag': u'', u'partnerGrouping': u'JN Customer', u'accountName': u'PRIMARY RESELLER TESTING 14101510', u'accountClassKey': u'', u'statusKey': u'E0018', u'partnerGroupingKey': u'0001', u'serviceRenewalDate': u'00000000', u'status': u'Compliance Pending', u'tranBlockReasonKey': u'', u'accountGroup': u'', u'sapCreateDate': 20151014, u'dataOriginKey': u'0003', u'accountClass': u'', u'sapChangeDate': 20151014, u'contactFirstName': u'', u'accountGroupKey': u'', u'dataOrigin': u'SFDC', u'partnerType': u'Organisation', u'contactLastNname': u'', u'tranBlockReason': u''}, u'_id': ObjectId('562f0a30a9728d0c2c8f5582')}"
"5","{u'header': {u'rating': u'', u'accountType': u'Enterprise', u'customerSince': 20151014, u'ratingKey': u'', u'sapChangeTime': 52329, u'partnerId': 101101983, u'partnerTypeKey': 2, u'commonId': u'', u'sapCreateTime': 51709, u'accountTypeKey': u'EN', u'archivingFlag': u'', u'partnerGrouping': u'JN Customer', u'accountName': u'PRIMARY RESELLER TESTING 14101510', u'accountClassKey': 2, u'statusKey': u'E0018', u'partnerGroupingKey': u'0001', u'serviceRenewalDate': u'00000000', u'status': u'Compliance Pending', u'tranBlockReasonKey': u'', u'accountGroup': u'JN End Customer', u'sapCreateDate': 20151014, u'dataOriginKey': u'0003', u'accountClass': u'Major', u'sapChangeDate': 20151014, u'contactFirstName': u'', u'accountGroupKey': u'Z006', u'dataOrigin': u'SFDC', u'partnerType': u'Organisation', u'contactLastNname': u'', u'tranBlockReason': u''}, u'_id': ObjectId('562f0a30a9728d0c2c8f5583'), u'address': {u'website': u'', u'city': u'SONOMA', u'language': u'', u'extension': u'', u'street1': u'389 4TH ST E', u'street2': u'', u'street3': u'', u'street4': u'', u'email': u'', u'phone': u'', u'communicationTypeKey': u'', u'country': u'United States', u'postalCode': u'95476-5717', u'region': u'California', u'houseNumber': u'', u'communicationType': u'', u'transportZone': u'0000000001'}}"
"6","{u'_id': ObjectId('562f0a30a9728d0c2c8f5584'), u'relationship': [{u'accountId': 100080266, u'relationshipChangeTime': u'', u'relationshipChangeDate': u'', u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000008154', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 131959}, {u'accountId': 100080266, u'relationshipChangeTime': 131959, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124853}, {u'accountId': 100080266, u'relationshipChangeTime': 131959, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'D', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124853}]}"
"7","{u'_id': ObjectId('562f0a30a9728d0c2c8f5585'), u'relationship': [{u'accountId': 100197496, u'relationshipChangeTime': u'', u'relationshipChangeDate': u'', u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000008154', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 131959}, {u'accountId': 100197496, u'relationshipChangeTime': 131959, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124853}, {u'accountId': 100197496, u'relationshipChangeTime': 131959, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'D', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124853}]}"
"8","{u'_id': ObjectId('562f0a30a9728d0c2c8f5586'), u'relationship': [{u'accountId': 100109305, u'relationshipChangeTime': u'', u'relationshipChangeDate': u'', u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000008154', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 132001}, {u'accountId': 100109305, u'relationshipChangeTime': 132001, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124856}, {u'accountId': 100109305, u'relationshipChangeTime': 132001, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'D', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124856}]}"
"9","{u'_id': ObjectId('562f0a30a9728d0c2c8f5587'), u'relationship': [{u'accountId': 200167817, u'relationshipChangeTime': u'', u'relationshipChangeDate': u'', u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000008154', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 131958}, {u'accountId': 200167817, u'relationshipChangeTime': 131958, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124852}, {u'accountId': 200167817, u'relationshipChangeTime': 131958, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'D', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124852}]}"
"10","{u'_id': ObjectId('562f0a30a9728d0c2c8f5588'), u'relationship': [{u'accountId': 100136930, u'relationshipChangeTime': u'', u'relationshipChangeDate': u'', u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000008154', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 132000}, {u'accountId': 100136930, u'relationshipChangeTime': 132000, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'I', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124854}, {u'accountId': 100136930, u'relationshipChangeTime': 132000, u'relationshipChangeDate': 20151014, u'validTo': 99991231, u'relationshipCode': u'BUR011', u'contactId': u'0000037825', u'mode': u'D', u'relationshipDescription': u'Has the Employee Responsible', u'validFrom': u'00010101', u'relationshipCreateDate': 20151014, u'relationshipCreateTime': 124854}]}"
